# distribution_name: SCS Type II,
# source_note: SCS-type II 24-hour cumulative distribution - generated from HEC-HMS 4.12,
fraction_time,fraction_cumulative_depth
0,0
0.003472222,0.000830008
0.006944444,0.001670017
0.010416667,0.002490025
0.013888889,0.003370034
0.017361111,0.004270043
0.020833333,0.005100051
0.024305556,0.00602006
0.027777778,0.006860069
0.03125,0.007730077
0.034722222,0.008660087
0.038194444,0.009570096
0.041666667,0.010490105
0.045138889,0.011410114
0.048611111,0.012330123
0.052083333,0.013230132
0.055555556,0.014190142
0.059027778,0.015180152
0.0625,0.016090161
0.065972222,0.017090171
0.069444444,0.01802018
0.072916667,0.01898019
0.076388889,0.0199902
0.079861111,0.02099021
0.083333333,0.02199022
0.086805556,0.02299023
0.090277778,0.02398024
0.09375,0.02504025
0.097222222,0.026100261
0.100694444,0.027080271
0.104166667,0.028090281
0.107638889,0.029180292
0.111111111,0.030190302
0.114583333,0.031230312
0.118055556,0.032330323
0.121527778,0.033410334
0.125,0.034490345
0.128472222,0.035570356
0.131944444,0.036660367
0.135416667,0.037730377
0.138888889,0.038860389
0.142361111,0.0400104
0.145833333,0.041090411
0.149305556,0.042250423
0.152777778,0.043440434
0.15625,0.044540445
0.159722222,0.045650457
0.163194444,0.046830468
0.166666667,0.04799048
0.170138889,0.049160492
0.173611111,0.050320503
0.177083333,0.051530515
0.180555556,0.052790528
0.184027778,0.05404054
0.1875,0.055290553
0.190972222,0.056540565
0.194444444,0.057790578
0.197916667,0.05903059
0.201388889,0.060320603
0.204861111,0.061660617
0.208333333,0.06299063
0.211805556,0.064320643
0.215277778,0.065650657
0.21875,0.06703067
0.222222222,0.068470685
0.225694444,0.069860699
0.229166667,0.071190712
0.232638889,0.072690727
0.236111111,0.074130741
0.239583333,0.075530755
0.243055556,0.07698077
0.246527778,0.078490785
0.25,0.0799908
0.253472222,0.081490815
0.256944444,0.08298083
0.260416667,0.084530845
0.263888889,0.086130861
0.267361111,0.087690877
0.270833333,0.089190892
0.274305556,0.090860909
0.277777778,0.092470925
0.28125,0.09403094
0.284722222,0.095650957
0.288194444,0.097320973
0.291666667,0.09899099
0.295138889,0.100691007
0.298611111,0.102291023
0.302083333,0.10399104
0.305555556,0.105791058
0.309027778,0.107491075
0.3125,0.109291093
0.315972222,0.11099111
0.319444444,0.112791128
0.322916667,0.114491145
0.326388889,0.116291163
0.329861111,0.118191182
0.333333333,0.1199912
0.336805556,0.121791218
0.340277778,0.123791238
0.34375,0.125791258
0.347222222,0.127891279
0.350694444,0.1299913
0.354166667,0.132191322
0.357638889,0.134491345
0.361111111,0.136891369
0.364583333,0.139291393
0.368055556,0.141791418
0.371527778,0.144291443
0.375,0.14699147
0.378472222,0.149691497
0.381944444,0.152291523
0.385416667,0.15499155
0.388888889,0.157691577
0.392361111,0.160291603
0.395833333,0.16299163
0.399305556,0.165691657
0.402777778,0.168491685
0.40625,0.171491715
0.409722222,0.174591746
0.413194444,0.177691777
0.416666667,0.18099181
0.420138889,0.184391844
0.423611111,0.18799188
0.427083333,0.191791918
0.430555556,0.195691957
0.434027778,0.199691997
0.4375,0.20399204
0.440972222,0.208492085
0.444444444,0.213192132
0.447916667,0.218192182
0.451388889,0.223592236
0.454861111,0.229092291
0.458333333,0.23499235
0.461805556,0.241392414
0.465277778,0.248292483
0.46875,0.255892559
0.472222222,0.264392644
0.475694444,0.273192732
0.479166667,0.28299283
0.482638889,0.301193012
0.486111111,0.336393364
0.489583333,0.385493855
0.493055556,0.473194732
0.496527778,0.589195892
0.5,0.66299663
0.503472222,0.680596806
0.506944444,0.692396924
0.510416667,0.706397064
0.513888889,0.717197172
0.517361111,0.72699727
0.520833333,0.73499735
0.524305556,0.74199742
0.527777778,0.748797488
0.53125,0.755197552
0.534722222,0.761097611
0.538194444,0.766697667
0.541666667,0.77199772
0.545138889,0.77699777
0.548611111,0.781797818
0.552083333,0.786297863
0.555555556,0.790797908
0.559027778,0.79499795
0.5625,0.79899799
0.565972222,0.802798028
0.569444444,0.806598066
0.572916667,0.810098101
0.576388889,0.813598136
0.579861111,0.816798168
0.583333333,0.8199982
0.586805556,0.823098231
0.590277778,0.826098261
0.59375,0.829098291
0.597222222,0.831898319
0.600694444,0.834798348
0.604166667,0.837598376
0.607638889,0.840398404
0.611111111,0.843098431
0.614583333,0.845798458
0.618055556,0.848398484
0.621527778,0.85099851
0.625,0.853498535
0.628472222,0.85599856
0.631944444,0.858398584
0.635416667,0.860798608
0.638888889,0.863098631
0.642361111,0.865398654
0.645833333,0.867598676
0.649305556,0.869798698
0.652777778,0.871898719
0.65625,0.874098741
0.659722222,0.876098761
0.663194444,0.878098781
0.666666667,0.8799988
0.670138889,0.881898819
0.673611111,0.883798838
0.677083333,0.885598856
0.680555556,0.887498875
0.684027778,0.889398894
0.6875,0.891198912
0.690972222,0.89299893
0.694444444,0.894798948
0.697916667,0.896498965
0.701388889,0.898298983
0.704861111,0.900099001
0.708333333,0.901799018
0.711805556,0.903499035
0.715277778,0.905099051
0.71875,0.906799068
0.722222222,0.908399084
0.725694444,0.9099991
0.729166667,0.911699117
0.732638889,0.913299133
0.736111111,0.914899149
0.739583333,0.916399164
0.743055556,0.917899179
0.746527778,0.919499195
0.75,0.92099921
0.753472222,0.922499225
0.756944444,0.923899239
0.760416667,0.925399254
0.763888889,0.926899269
0.767361111,0.928299283
0.770833333,0.929699297
0.774305556,0.93099931
0.777777778,0.932399324
0.78125,0.933799338
0.784722222,0.935099351
0.788194444,0.936499365
0.791666667,0.937699377
0.795138889,0.93899939
0.798611111,0.940299403
0.802083333,0.941499415
0.805555556,0.942799428
0.809027778,0.94399944
0.8125,0.945199452
0.815972222,0.946399464
0.819444444,0.947499475
0.822916667,0.948599486
0.826388889,0.949799498
0.829861111,0.950899509
0.833333333,0.95199952
0.836805556,0.953099531
0.840277778,0.954199542
0.84375,0.955199552
0.847222222,0.956299563
0.850694444,0.957399574
0.854166667,0.958399584
0.857638889,0.959499595
0.861111111,0.960599606
0.864583333,0.961599616
0.868055556,0.962599626
0.871527778,0.963699637
0.875,0.964699647
0.878472222,0.965799658
0.881944444,0.966799668
0.885416667,0.967799678
0.888888889,0.968899689
0.892361111,0.969899699
0.895833333,0.970899709
0.899305556,0.97199972
0.902777778,0.97299973
0.90625,0.97399974
0.909722222,0.97499975
0.913194444,0.97599976
0.916666667,0.97699977
0.920138889,0.97799978
0.923611111,0.97899979
0.927083333,0.9799998
0.930555556,0.98099981
0.934027778,0.98199982
0.9375,0.982899829
0.940972222,0.983899839
0.944444444,0.984899849
0.947916667,0.985799858
0.951388889,0.986799868
0.954861111,0.987799878
0.958333333,0.988699887
0.961805556,0.989699897
0.965277778,0.990599906
0.96875,0.991599916
0.972222222,0.992599926
0.975694444,0.993499935
0.979166667,0.994399944
0.982638889,0.995399954
0.986111111,0.996299963
0.989583333,0.997199972
0.993055556,0.998199982
0.996527778,0.999099991
1,1
