# distribution_name: SCS Type III,
# source_note: SCS-type III 24-hour cumulative distribution - generated from HEC-HMS 4.12,
fraction_time,fraction_cumulative_depth
0,0
0.003472222,0.000830033
0.006944444,0.001660066
0.010416667,0.0024901
0.013888889,0.003320133
0.017361111,0.004150166
0.020833333,0.004980199
0.024305556,0.005810232
0.027777778,0.006640266
0.03125,0.007470299
0.034722222,0.008300332
0.038194444,0.009130365
0.041666667,0.009960398
0.045138889,0.010790432
0.048611111,0.011630465
0.052083333,0.012460498
0.055555556,0.013290532
0.059027778,0.014130565
0.0625,0.014960598
0.065972222,0.015790632
0.069444444,0.016630665
0.072916667,0.017460698
0.076388889,0.018290732
0.079861111,0.019130765
0.083333333,0.019960798
0.086805556,0.020800832
0.090277778,0.021620865
0.09375,0.0225109
0.097222222,0.023400936
0.100694444,0.02424097
0.104166667,0.025161006
0.107638889,0.026081043
0.111111111,0.02699108
0.114583333,0.027911116
0.118055556,0.028821153
0.121527778,0.02976119
0.125,0.03076123
0.128472222,0.031671267
0.131944444,0.032651306
0.135416667,0.033661346
0.138888889,0.034661386
0.142361111,0.035661426
0.145833333,0.036661466
0.149305556,0.037651506
0.152777778,0.038731549
0.15625,0.03976159
0.159722222,0.040781631
0.163194444,0.041881675
0.166666667,0.042961718
0.170138889,0.044051762
0.173611111,0.045121805
0.177083333,0.04626185
0.180555556,0.047401896
0.184027778,0.04849194
0.1875,0.049661986
0.190972222,0.050832033
0.194444444,0.05199208
0.197916667,0.053162126
0.201388889,0.054332173
0.204861111,0.05549222
0.208333333,0.056662266
0.211805556,0.057912316
0.215277778,0.059162366
0.21875,0.060412416
0.222222222,0.061662466
0.225694444,0.062912517
0.229166667,0.064162567
0.232638889,0.065402616
0.236111111,0.066732669
0.239583333,0.068012721
0.243055556,0.069282771
0.246527778,0.070632825
0.25,0.071962879
0.253472222,0.073292932
0.256944444,0.074692988
0.260416667,0.076103044
0.263888889,0.077553102
0.267361111,0.079063163
0.270833333,0.080563223
0.274305556,0.082143286
0.277777778,0.083723349
0.28125,0.085353414
0.284722222,0.087023481
0.288194444,0.088703548
0.291666667,0.090463619
0.295138889,0.092203688
0.298611111,0.094023761
0.302083333,0.095853834
0.305555556,0.097723909
0.309027778,0.099643986
0.3125,0.101564063
0.315972222,0.103564143
0.319444444,0.105564223
0.322916667,0.107564303
0.326388889,0.109664387
0.329861111,0.111764471
0.333333333,0.113964559
0.336805556,0.116264651
0.340277778,0.118464739
0.34375,0.120764831
0.347222222,0.123264931
0.350694444,0.125765031
0.354166667,0.128365135
0.357638889,0.131065243
0.361111111,0.133865355
0.364583333,0.136665467
0.368055556,0.139665587
0.371527778,0.142665707
0.375,0.145765831
0.378472222,0.148965959
0.381944444,0.152166087
0.385416667,0.155466219
0.388888889,0.158866355
0.392361111,0.162366495
0.395833333,0.165866635
0.399305556,0.169566783
0.402777778,0.173266931
0.40625,0.177067083
0.409722222,0.180967239
0.413194444,0.184967399
0.416666667,0.188967559
0.420138889,0.193067723
0.423611111,0.197467899
0.427083333,0.201968079
0.430555556,0.206668267
0.434027778,0.211468459
0.4375,0.216468659
0.440972222,0.221568863
0.444444444,0.226969079
0.447916667,0.232469299
0.451388889,0.238169527
0.454861111,0.243969759
0.458333333,0.249969999
0.461805556,0.256370255
0.465277778,0.263370535
0.46875,0.271070843
0.472222222,0.279471179
0.475694444,0.288371535
0.479166667,0.297971919
0.482638889,0.311072443
0.486111111,0.329773191
0.489583333,0.355874235
0.493055556,0.384775391
0.496527778,0.427277091
0.5,0.499979999
0.503472222,0.572682907
0.506944444,0.615184607
0.510416667,0.644085763
